1A:África do Sul:Área(km^2):1223201:0:População(MIL):43.8:0:Pessoas/km^2:35.8:0:Espectativa de vida(anos):48.3:0:Renda per capita(U$$):3170:0
2A:Alemanha:Área(km^2):356733:0:População(MIL):82:0:Pessoas/km^2:229.8:0:Espectativa de vida(anos):81.1:0:Renda per capita(U$$):25620:0
3A:Arábia Saudita:Área(km^2):2153168:0:População(MIL):21:0:Pessoas/km^2:9.7:0:Espectativa de vida(anos):73.7:0:Renda per capita(U$$):6900:0
4A:Argentina:Área(km^2):2780092:0:População(MIL):37.5:0:Pessoas/km^2:13.5:0:Espectativa de vida(anos):77.7:0:Renda per capita(U$$):7550:0
